timeStamp,red,green,blue
121.038666,9972,2633,1979
122.05867,9420,2346,1942
123.04867,10483,3204,1961
124.01867,10356,2147,1962
125.038666,8891,2129,1907
126.05867,7356,2383,1931
127.01867,9457,2370,1963
128.03867,8925,2195,1969
129.02867,8909,2255,2008
130.03867,9423,2177,1961
131.03867,9203,2084,1889
132.02867,8951,2503,1632
133.03867,8999,2200,1642
134.05867,9045,2352,1624
135.01866,9267,2557,1927
136.02867,10037,2174,1952
137.00867,10190,2197,1973
138.00867,9969,2217,1982
139.03867,8708,2182,1970
140.03867,8313,2305,1983
141.04866,9775,3666,2500
142.02867,9584,3109,1970
143.02867,9602,2511,1945
144.00867,9475,2156,1958
145.03867,9414,2180,1926
146.01866,8431,2776,1935
147.04866,8282,2556,1984
148.01866,8436,2464,2001
149.03867,7677,2259,1960
150.02867,6585,2300,2010
