timeStamp,red,green,blue
271.03867,2114,1881,1903
272.02866,2106,1900,1887
273.06866,2147,1899,1899
274.00867,2264,1903,1885
275.04868,2332,1878,1888
276.02866,2345,1901,1906
277.00867,2294,1909,1899
278.01868,2293,1902,1900
279.03867,2246,1899,1872
280.05865,2184,1892,1861
281.03867,2143,1874,1831
282.01868,2112,1861,1813
283.06866,2139,1864,1835
284.05865,2094,1854,1811
285.02866,2132,1865,1842
286.01868,2095,1848,1804
287.05865,2113,1848,1806
288.01868,2071,1840,1796
289.06866,2059,1849,1814
290.04868,2064,1855,1820
291.02866,2050,1849,1797
292.04868,2082,1868,1817
293.04868,2271,2007,1976
294.00867,2121,1900,1876
295.01868,2091,1902,1890
296.01868,2100,1907,1891
297.02866,2106,1898,1900
298.06866,2070,1876,1876
299.04868,2098,1869,1862
300.02866,2109,1896,1861
