timeStamp,red,green,blue
211.008,2232,1999,2028
212.032,2464,2023,2046
213.03467,2499,2039,2096
214.08,2352,2026,2085
215.04,2238,1991,2033
216.0,2251,1968,2008
217.00267,2355,2020,2081
218.00534,2258,2013,2063
219.008,2339,2024,2069
220.07466,2408,2042,2066
221.03467,2323,1997,2021
222.05867,2344,2007,2024
223.01866,2602,2070,2051
224.0,2449,2012,2055
225.024,2471,1987,2043
226.048,2452,1974,2015
227.09334,2396,1938,1972
228.032,2449,1943,1964
229.01334,2476,1954,1953
230.016,2426,1939,1952
231.06134,2411,1931,1953
232.02133,2436,1918,1946
233.04533,2374,1912,1879
234.00534,2339,1901,1891
235.072,2265,1863,1837
236.05333,2233,1855,1821
237.03467,2204,1843,1815
238.016,2195,1829,1807
239.01866,2161,1834,1814
240.0,2137,1835,1815
