timeStamp,red,green,blue
181.02867,2334,1923,1880
182.04866,3197,1927,1876
183.01866,2348,1922,1896
184.00867,2265,1899,1887
185.03867,2256,1927,1903
186.03867,2209,1922,1895
187.04866,2260,1861,1824
188.06866,2443,1947,1923
189.04866,2778,1964,1939
190.04866,2582,1918,1910
191.03867,2550,1959,1940
192.03867,2792,1959,1944
193.00867,2406,1932,1933
194.06866,2367,1937,1926
195.05867,2561,1984,1963
196.05867,2410,1972,1960
197.07866,2328,1947,1938
198.06866,2185,1944,1936
199.03867,2197,1950,1961
200.03867,2556,1964,1949
201.024,3039,2116,2034
202.048,2531,2051,2038
203.008,3157,2179,2094
204.01067,2716,2091,2009
205.056,2565,1978,1986
206.016,2566,1976,1999
207.01866,2400,1992,2013
208.04266,2233,1998,2024
209.04533,2359,2025,2054
210.048,2432,2034,2060
