timeStamp,red,green,blue
361.00266,2059,1876,1832
362.02667,2082,1877,1849
363.02933,2071,1880,1850
364.032,2068,1851,1790
365.03467,2081,1864,1804
366.016,2099,1890,1847
367.06134,2119,1890,1868
368.064,2138,1899,1882
369.024,2125,1905,1873
370.048,2131,1888,1875
371.008,2116,1892,1868
372.01068,2117,1891,1869
373.056,2128,1896,1875
374.016,2096,1896,1884
375.01868,2096,1895,1872
376.02133,2100,1876,1848
377.00266,2100,1888,1874
378.00534,2077,1886,1844
379.008,2105,1891,1868
380.01068,2104,1905,1884
381.01334,2092,1897,1869
382.03732,2074,1883,1837
383.04,2206,1981,1946
384.0,2141,1932,1911
385.00266,8613,8288,8210
