timeStamp,red,green,blue
91.05067,69786,7160,2295
92.05334,69875,9360,2253
93.013336,69895,9297,2252
94.016,69863,5618,2054
95.01867,69763,4225,2026
96.02133,12613,3186,1997
97.00267,11271,3042,1961
98.069336,11883,2924,1966
99.05867,12749,3064,2008
100.01867,13557,2344,1995
101.02866,16911,2627,2023
102.02866,16991,2549,2030
103.02866,23429,2744,2054
104.01867,26049,2824,2039
105.04867,31796,4388,2905
106.00867,34276,5395,2923
107.02866,45081,5890,3413
108.02866,57574,4749,2581
109.04867,65396,5672,2481
110.068665,68590,5001,2130
111.04867,69090,5128,2138
112.038666,69360,4886,2144
113.04867,69548,5084,2082
114.05867,69608,5452,2106
115.05867,69717,6258,2096
116.02866,69843,6058,2200
117.01867,69863,5912,1976
118.02866,69780,4950,1912
119.038666,25039,2838,1917
120.05867,9955,2402,1890
