timeStamp,red,green,blue
1.0386666,69916,69916,69916
2.0186665,69916,69916,69916
3.0286667,69916,69916,69916
4.0286665,69916,69916,69916
5.0286665,69916,69916,69916
6.0486665,69916,69916,69916
7.0386667,69916,69916,69916
8.0286665,69916,69916,69704
9.038667,69916,69840,6355
10.018666,69913,45688,3513
11.038667,69905,18014,1931
12.038667,69902,12522,2089
13.038667,69710,6680,2192
14.008667,69796,7932,2706
15.038667,69803,8369,3300
16.028667,69818,8453,4086
17.018667,69886,12323,4566
18.008667,69907,27680,5640
19.038666,69911,68605,6076
20.008667,69915,69748,7018
21.038666,69916,69884,6549
22.028667,69913,49819,3178
23.008667,69906,11137,2600
24.038666,69898,8862,2138
25.058666,55512,4254,2230
26.048666,68002,5230,2267
27.018667,69289,6979,2861
28.078667,69613,7719,3263
29.028667,69720,8622,3398
30.028667,69807,9077,2912
