timeStamp,red,green,blue
151.05867,5909,2131,1949
152.00867,7958,2867,1952
153.00867,7454,2346,1964
154.02867,6805,2087,1944
155.02867,6310,2107,1963
156.04866,5594,2068,1985
157.04866,5036,2049,1944
158.02867,6062,2079,1960
159.04866,5732,2365,1909
160.03867,5662,2128,1905
161.07866,5086,2005,1912
162.02867,4987,1983,1903
163.01866,3815,1934,1869
164.00867,3279,1951,1855
165.01866,3221,1998,1915
166.03867,4423,1993,1951
167.01866,4323,1942,1906
168.04866,3528,1943,1918
169.04866,3370,1923,1903
170.01866,2825,1964,1948
171.00867,3106,1961,1950
172.05867,2887,1960,1931
173.00867,2740,1934,1898
174.00867,2697,1951,1946
175.03867,3406,1947,1975
176.04866,4223,2085,1992
177.03867,3798,1963,1966
178.00867,3153,1942,1948
179.01866,2416,1918,1909
180.05867,2321,1921,1909
