timeStamp,red,green,blue
331.02933,2109,1888,1853
332.05334,2100,1888,1873
333.056,2087,1880,1863
334.03732,2095,1893,1865
335.01868,2150,1938,1920
336.0,2137,1910,1891
337.024,2155,1931,1887
338.048,2150,1929,1896
339.05066,2146,1911,1878
340.05334,2125,1921,1885
341.056,2134,1910,1883
342.05865,2137,1908,1859
343.01868,2089,1879,1834
344.04266,2083,1882,1819
345.088,2144,1900,1849
346.048,2131,1921,1885
347.05066,2114,1899,1884
348.05334,2115,1904,1878
349.01334,2122,1915,1864
350.03732,2113,1909,1874
351.01868,2141,1935,1903
352.04266,2137,1930,1900
353.00266,2134,1936,1895
354.048,2124,1931,1884
355.02933,2110,1924,1887
356.01068,2059,1862,1829
357.07733,2066,1846,1802
358.10132,2065,1852,1810
359.04,2059,1855,1810
360.064,2098,1881,1837
