timeStamp,red,green,blue
301.02866,2126,1895,1886
302.04868,2101,1890,1892
303.01868,2113,1882,1889
304.03867,2100,1870,1853
305.03867,2105,1883,1860
306.02866,2086,1882,1843
307.03867,2089,1880,1846
308.01868,2079,1878,1865
309.01868,2079,1888,1869
310.06866,2089,1874,1873
311.01868,2086,1883,1861
312.01868,2098,1884,1856
313.04532,2090,1888,1862
314.02667,2104,1889,1851
315.008,2086,1870,1864
316.05334,2088,1877,1842
317.12,2104,1876,1846
318.016,2079,1864,1827
319.04,2047,1825,1781
320.02133,2065,1860,1800
321.00266,2068,1857,1804
322.048,2097,1873,1828
323.05066,2101,1880,1829
324.032,2079,1860,1823
325.01334,2122,1891,1875
326.03732,2100,1890,1872
327.06134,2111,1889,1881
328.04266,2102,1895,1874
329.024,2093,1894,1843
330.00534,2114,1912,1896
