timeStamp,red,green,blue
241.00267,2132,1828,1820
242.048,2137,1850,1842
243.02933,2129,1862,1861
244.01067,2166,1872,1856
245.03467,2117,1848,1828
246.03734,2279,1939,1929
247.04,2248,1949,1945
248.0,2251,1932,1936
249.024,2253,1938,1934
250.00534,2180,1930,1910
251.05066,2228,1937,1920
252.05333,2205,1925,1921
253.03467,2208,1927,1898
254.02867,2176,1909,1885
255.06866,2341,1914,1860
256.01868,2327,1916,1871
257.02866,2296,1896,1852
258.00867,2280,1898,1873
259.05865,2167,1889,1869
260.03867,2180,1894,1876
261.04868,2160,1900,1871
262.05865,2135,1895,1876
263.03867,2151,1891,1847
264.04868,2139,1892,1864
265.03867,2117,1895,1880
266.04868,2122,1881,1870
267.01868,2093,1875,1842
268.02866,2143,1897,1854
269.06866,2122,1883,1833
270.03867,2188,1898,1867
