timeStamp,red,green,blue
31.068666,69862,14153,2856
32.018665,69888,21844,4438
33.018665,69908,48168,5100
34.02667,69915,69751,5387
35.050667,69908,22260,2788
36.010666,69897,9509,2690
37.013332,69782,6728,2370
38.016,49194,4203,2412
39.04,57424,4494,2368
40.02133,68797,5163,2417
41.045334,69587,6535,2648
42.048,69729,7578,3120
43.008,69824,9222,3381
44.010666,69867,11295,3418
45.013332,69891,17808,3597
46.016,69912,68102,3847
47.061333,69907,25105,3044
48.038666,69901,9341,2467
49.018665,69880,6897,2105
50.005333,31753,3640,2146
51.018665,39101,3724,2159
52.038666,54241,3619,2179
53.028667,68254,4282,2105
54.06867,69463,4799,2188
55.06867,69651,5063,2202
56.018665,69734,5351,2312
57.038666,69848,7524,2346
58.038666,69907,13288,2729
59.008667,69902,24582,3119
60.032,69915,30270,2420
